RW1waXJlIFRvdGFsIFdhciBzZWFnYXRlIHBvcnRhYmxlIHNzZD09_1of2_88m	directory	directory	directory	directory	directory	directory

RW1waXJlIFRvdGFsIFdhciBzZWFnYXRlIHBvcnRhYmxlIHNzZD09_1of2_88m/RW1waXJlIFRvdGFsIFdhciBzZWFnYXRlIHBvcnRhYmxlIHNzZD09.tar.gpg_so75_88m_aa	md5	6664f76057fd6a934be5c31782047d69	sha1	fec4a2b31cb5d9d4ddd53b3c9a7d589e241731f8	sha256	a705dd84a13976ea076143a5a546b01490721413d431af539f1dea0997237275

RW1waXJlIFRvdGFsIFdhciBzZWFnYXRlIHBvcnRhYmxlIHNzZD09_1of2_88m/RW1waXJlIFRvdGFsIFdhciBzZWFnYXRlIHBvcnRhYmxlIHNzZD09.tar.gpg_so75_88m_ab	md5	c2d7935f0e51175546c97f878a9c6373	sha1	43ea71bafcfee015ac7e06878538ad54760745d0	sha256	b09fa7cfbc8028df328692a70181f120169af3bc7f96620b7086e97e929b3bf7

RW1waXJlIFRvdGFsIFdhciBzZWFnYXRlIHBvcnRhYmxlIHNzZD09_1of2_88m/RW1waXJlIFRvdGFsIFdhciBzZWFnYXRlIHBvcnRhYmxlIHNzZD09.tar.gpg_so75_88m_ac	md5	94ac02ad71e6b5df80cf78a11313649e	sha1	77ea40b7d13003b99debcf974601cce4f2223bf3	sha256	545fc07014992957a70ead9959f57299b93e3f37b72f2529bd20f6a12e58fd40

RW1waXJlIFRvdGFsIFdhciBzZWFnYXRlIHBvcnRhYmxlIHNzZD09_1of2_88m/RW1waXJlIFRvdGFsIFdhciBzZWFnYXRlIHBvcnRhYmxlIHNzZD09.tar.gpg_so75_88m_ad	md5	4442ed1e9b6761c04945d73cbb60c2b6	sha1	17a0894276ffe59363e34935e2760314aa3988c0	sha256	ada807a2732943fbd33db7258e131db69e8cca3d9960db0d185df1c7048e64eb

RW1waXJlIFRvdGFsIFdhciBzZWFnYXRlIHBvcnRhYmxlIHNzZD09_1of2_88m/RW1waXJlIFRvdGFsIFdhciBzZWFnYXRlIHBvcnRhYmxlIHNzZD09.tar.gpg_so75_88m_ae	md5	86606aab263d2977a93d7beeb589c920	sha1	c1dd96aa0907ae2a1c013791bc9d79f98ea7dc7e	sha256	62c359cf1857eb1ed0f89c62da67a828833770ff3c709c783c47e13f5175298c

RW1waXJlIFRvdGFsIFdhciBzZWFnYXRlIHBvcnRhYmxlIHNzZD09_1of2_88m/RW1waXJlIFRvdGFsIFdhciBzZWFnYXRlIHBvcnRhYmxlIHNzZD09.tar.gpg_so75_88m_af	md5	043ea7968429fca8591c42312eaee15a	sha1	6ad72f037b059f53bd746ef3307f7922f466006a	sha256	5fe3c41e569d8d1b2c4146a626834c267090eb43330ab5a7a24129966257f9af

RW1waXJlIFRvdGFsIFdhciBzZWFnYXRlIHBvcnRhYmxlIHNzZD09_1of2_88m/RW1waXJlIFRvdGFsIFdhciBzZWFnYXRlIHBvcnRhYmxlIHNzZD09.tar.gpg_so75_88m_ag	md5	62ea00afaca6c776a1327ef70ec3810b	sha1	f4b3485e171dc914f992b8d4d07a5d2bad6e7e9d	sha256	02efda33e4610630aa632a66073bdf1e58cbaa7fe8cc6c3d0e0898220fe20152

